,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
0,Aaron Ciammaglichella,ITA,MF,Torino,Serie A,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aaron Cresswell,ENG,DF,West Ham,Premier League,34,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17
2,Aaron Malouda,FRA,FW,Lille,Ligue 1,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Ramsdale,ENG,GK,Southampton,Premier League,26,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aaron Wan-Bissaka,ENG,DF,West Ham,Premier League,26,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14
5,Aarón Martín,ESP,DF,Genoa,Serie A,27,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.0,0.23,0.23,0.0,0.23,0.03,0.16,0.19,0.03,0.19
6,Abakar Sylla,CIV,DF,Strasbourg,Ligue 1,21,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05
7,Abdallah Sima,SEN,"FW,MF",Brest,Ligue 1,23,27,14,1238,13.8,7,2,9,7,0,0,2,0,5.9,5.9,1.0,6.9,36,24,92,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.5,0.43,0.5
8,Abde Ezzalzouli,MAR,"FW,MF",Betis,La Liga,22,32,23,1984,22.0,2,2,4,2,0,1,2,0,8.0,7.2,2.0,9.3,117,68,215,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42
9,Abdel Abqar,MAR,DF,Alavés,La Liga,25,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04
10,Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,25,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11
11,Abdou Harroui,NED,"MF,FW",Hellas Verona,Serie A,26,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51
12,Abdoul Koné,FRA,DF,Reims,Ligue 1,19,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02
14,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23
15,Abdoulaye Keita,ESP,"FW,MF",Getafe,La Liga,21,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
16,Abdoulaye Niakhate Ndiaye,SEN,DF,Brest,Ligue 1,22,22,19,1707,19.0,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,5,39,4,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05
17,Abdoulaye Touré,GUI,MF,Le Havre,Ligue 1,30,28,26,2324,25.8,10,1,11,2,8,9,5,0,9.4,2.2,0.4,2.6,17,109,28,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.1
18,Abdoulie Ceesay,GAM,FW,St. Pauli,Bundesliga,20,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
19,Abdukodir Khusanov,UZB,DF,Manchester City,Premier League,20,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
20,Abdukodir Khusanov,UZB,DF,Lens,Ligue 1,20,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
21,Abdul Fatawu Issahaku,GHA,FW,Leicester City,Premier League,20,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31
22,Abdul Mumin,GHA,DF,Rayo Vallecano,La Liga,26,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03
23,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,31,24,3,456,5.1,2,0,2,1,1,1,4,0,2.2,1.5,0.1,1.6,0,7,14,0.39,0.0,0.39,0.2,0.2,0.45,0.03,0.47,0.29,0.32
24,Abel,ESP,DF,Osasuna,La Liga,23,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07
25,Abel Ruiz,ESP,FW,Girona,La Liga,24,23,17,1346,15.0,4,0,4,3,1,2,3,0,4.6,3.0,0.5,3.5,21,23,71,0.27,0.0,0.27,0.2,0.2,0.31,0.03,0.34,0.2,0.23
26,Abner,BRA,DF,Lyon,Ligue 1,24,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14
27,Aboubacar Bassinga,CIV,MF,Las Palmas,La Liga,19,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Achraf Hakimi,MAR,DF,Paris S-G,Ligue 1,25,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4
29,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25
30,Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Adam Aznou,MAR,DF,Valladolid,La Liga,18,13,10,876,9.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,25,26,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
32,Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,16,2,373,4.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,14,4,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
33,Adam Hložek,CZE,"FW,MF",Hoffenheim,Bundesliga,22,27,22,1871,20.8,8,4,12,8,0,0,2,0,5.6,5.6,3.5,9.1,54,68,102,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44
34,Adam Lallana,ENG,MF,Southampton,Premier League,36,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27
35,Adam Marušić,MNE,DF,Lazio,Serie A,31,35,26,2337,26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.15,0.0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1
36,Adam Masina,MAR,DF,Torino,Serie A,30,28,20,1919,21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05
37,Adam Obert,SVK,DF,Cagliari,Serie A,21,21,13,1077,12.0,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,50,19,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11
38,Adam Smith,ENG,DF,Bournemouth,Premier League,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
39,Adam Webster,ENG,DF,Brighton,Premier League,29,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
40,Adam Wharton,ENG,MF,Crystal Palace,Premier League,20,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23
41,Adama Boiro,ESP,"DF,FW",Athletic Club,La Liga,22,18,13,1101,12.2,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.7,25,46,36,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
42,Adama Traoré,ESP,"FW,MF",Fulham,Premier League,28,36,18,1772,19.7,2,7,9,2,0,0,3,0,4.0,4.0,4.9,8.9,100,68,161,0.1,0.36,0.46,0.1,0.46,0.2,0.25,0.45,0.2,0.45
43,Ademola Lookman,NGA,"MF,FW",Atalanta,Serie A,26,31,28,2247,25.0,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,0.6,0.2,0.8,0.56,0.76,0.41,0.29,0.7,0.38,0.67
44,Adnan Januzaj,BEL,"MF,FW",Las Palmas,La Liga,29,18,5,598,6.6,2,1,3,2,0,0,5,0,0.8,0.8,1.1,1.9,24,41,58,0.3,0.15,0.45,0.3,0.45,0.13,0.16,0.29,0.13,0.29
45,Ado Onaiwu,JPN,"MF,FW",Auxerre,Ligue 1,28,31,9,957,10.6,4,1,5,4,0,0,1,1,4.0,4.0,1.1,5.1,17,33,74,0.38,0.09,0.47,0.38,0.47,0.37,0.1,0.47,0.37,0.47
